StudentID,Name,Age,Gender,City,Math,Science,English,Attendance_%
1001,Student_1,24,Non-binary,Pune,65.0,56.0,61,89.23
1002,Student_2,21,Female,Chennai,,61.0,81,99.25
1003,Student_3,22,Non-binary,Chennai,67.0,90.0,81,70.26
1004,Student_4,24,Male,Delhi,97.0,55.0,77,86.17
1005,Student_5,20,Male,Pune,85.0,81.0,62,67.92
1006,Student_6,22,Male,Chennai,41.0,93.0,80,82.61
1007,Student_7,22,Male,Delhi,99.0,40.0,63,78.56
1008,Student_8,24,Non-binary,Hyderabad,93.0,53.0,69,98.88
1009,Student_9,19,Female,,82.0,91.0,67,84.34
1010,Student_10,20,Male,Chennai,40.0,37.0,78,73.98
1011,Student_11,24,Female,Bangalore,90.0,35.0,55,64.56
1012,Student_12,20,Non-binary,Bangalore,92.0,92.0,81,66.05
1013,Student_13,20,Non-binary,Bangalore,75.0,72.0,78,69.01
1014,Student_14,22,Non-binary,Chennai,90.0,49.0,92,70.04
1015,Student_15,21,Male,Bangalore,65.0,68.0,51,94.02
1016,Student_16,20,Female,Pune,68.0,95.0,72,82.45
1017,Student_17,23,Female,Hyderabad,60.0,69.0,68,80.94
1018,Student_18,22,Female,Delhi,50.0,98.0,80,64.59
1019,Student_19,19,Non-binary,Delhi,79.0,59.0,54,94.41
1020,Student_20,21,Male,Chennai,50.0,58.0,68,88.91
1021,Student_21,23,Non-binary,Bangalore,75.0,46.0,83,62.71
1022,Student_22,23,Non-binary,Bangalore,88.0,52.0,59,88.31
1023,Student_23,19,Female,Mumbai,98.0,49.0,74,81.74
1024,Student_24,21,Non-binary,Hyderabad,78.0,61.0,51,63.27
1025,Student_25,22,Female,Pune,79.0,94.0,60,78.33
1026,Student_26,18,Male,Delhi,74.0,,99,79.39
1027,Student_27,21,Female,Mumbai,93.0,51.0,80,66.63
1028,Student_28,19,Male,Mumbai,73.0,87.0,64,97.83
1029,Student_29,23,Female,Chennai,94.0,42.0,58,94.0
1030,Student_30,22,Non-binary,Delhi,86.0,61.0,72,86.76
1031,Student_31,21,Non-binary,Chennai,63.0,,68,78.49
1032,Student_32,18,Male,Pune,93.0,84.0,58,76.47
1033,Student_33,18,Male,Mumbai,61.0,37.0,84,86.04
1034,Student_34,20,Male,Mumbai,44.0,98.0,70,81.82
1035,Student_35,20,Female,Hyderabad,95.0,78.0,58,62.49
1036,Student_36,24,Female,Pune,72.0,87.0,77,80.5
1037,Student_37,19,Male,Mumbai,97.0,58.0,95,92.26
1038,Student_38,21,Non-binary,Pune,75.0,94.0,56,78.37
1039,Student_39,21,Female,Delhi,86.0,37.0,65,62.08
1040,Student_40,24,Female,Bangalore,59.0,54.0,65,91.45
1041,Student_41,23,Female,,58.0,80.0,82,68.05
1042,Student_42,23,Male,Hyderabad,74.0,49.0,53,70.34
1043,Student_43,24,Male,Delhi,91.0,59.0,53,66.59
1044,Student_44,23,Male,Pune,82.0,51.0,88,73.21
1045,Student_45,20,Male,Chennai,56.0,43.0,89,90.27
1046,Student_46,21,Male,Delhi,98.0,72.0,66,80.78
1047,Student_47,24,Non-binary,Mumbai,84.0,82.0,86,68.2
1048,Student_48,21,Non-binary,Pune,82.0,94.0,88,95.11
1049,Student_49,18,Male,Bangalore,73.0,97.0,78,95.18
1050,Student_50,20,Female,Delhi,48.0,36.0,85,94.82
1051,Student_51,22,Male,Mumbai,65.0,45.0,87,69.55
1052,Student_52,20,Non-binary,Hyderabad,41.0,98.0,88,78.05
1053,Student_53,24,Non-binary,Chennai,92.0,55.0,99,99.4
1054,Student_54,22,Female,Pune,48.0,52.0,86,90.88
1055,Student_55,18,Non-binary,Delhi,48.0,98.0,84,61.09
1056,Student_56,24,Male,Delhi,79.0,72.0,56,62.61
1057,Student_57,19,Female,Bangalore,56.0,66.0,76,78.56
1058,Student_58,21,Male,Bangalore,,45.0,77,96.37
1059,Student_59,18,Male,Hyderabad,64.0,79.0,71,81.55
1060,Student_60,21,Female,Chennai,82.0,67.0,63,79.91
1061,Student_61,23,Male,Hyderabad,79.0,75.0,56,64.22
1062,Student_62,19,Non-binary,Mumbai,81.0,42.0,86,86.27
1063,Student_63,19,Male,Mumbai,,45.0,71,92.88
1064,Student_64,18,Female,Hyderabad,78.0,85.0,54,75.22
1065,Student_65,19,Female,Chennai,74.0,75.0,51,91.02
1066,Student_66,22,Female,Hyderabad,42.0,51.0,76,98.58
1067,Student_67,19,Male,Chennai,89.0,80.0,70,68.15
1068,Student_68,21,Female,Chennai,76.0,66.0,87,80.93
1069,Student_69,21,Female,Pune,,88.0,64,71.49
1070,Student_70,24,Male,Chennai,83.0,54.0,70,91.71
1071,Student_71,21,Non-binary,Bangalore,90.0,67.0,59,83.1
1072,Student_72,24,Male,Chennai,69.0,,72,85.38
1073,Student_73,21,Female,Chennai,,66.0,88,91.92
1074,Student_74,22,Female,Chennai,73.0,36.0,54,75.84
1075,Student_75,24,Male,Mumbai,51.0,67.0,50,96.6
1076,Student_76,20,Non-binary,,58.0,64.0,62,81.32
1077,Student_77,23,Female,Bangalore,76.0,67.0,70,66.32
1078,Student_78,18,Female,,83.0,60.0,75,87.84
1079,Student_79,21,Female,Pune,98.0,56.0,99,91.73
1080,Student_80,19,Male,Chennai,98.0,72.0,94,72.67
1081,Student_81,21,Female,Delhi,88.0,80.0,70,94.29
1082,Student_82,19,Non-binary,Pune,56.0,49.0,67,96.25
1083,Student_83,23,Female,Pune,49.0,78.0,86,71.08
1084,Student_84,23,Female,Bangalore,96.0,83.0,94,99.34
1085,Student_85,23,Non-binary,Pune,,95.0,81,65.63
1086,Student_86,19,Female,Chennai,88.0,40.0,85,68.08
1087,Student_87,21,Male,Chennai,86.0,,66,67.37
1088,Student_88,23,Male,Mumbai,51.0,40.0,84,95.76
1089,Student_89,22,Male,Chennai,55.0,66.0,98,86.17
1090,Student_90,24,Non-binary,Chennai,63.0,,60,66.08
1091,Student_91,19,Female,Bangalore,58.0,42.0,70,77.61
1092,Student_92,19,Male,Chennai,47.0,84.0,75,84.61
1093,Student_93,21,Non-binary,Mumbai,70.0,96.0,53,63.34
1094,Student_94,19,Female,Delhi,60.0,96.0,83,95.3
1095,Student_95,19,Non-binary,Bangalore,56.0,41.0,97,92.14
1096,Student_96,23,Male,Delhi,62.0,38.0,67,80.21
1097,Student_97,21,Male,Bangalore,,40.0,89,98.69
1098,Student_98,23,Male,,93.0,92.0,84,76.71
1099,Student_99,24,Non-binary,Pune,55.0,56.0,90,99.36
1100,Student_100,24,Non-binary,Hyderabad,45.0,60.0,78,86.72
1101,Student_101,23,Male,Chennai,47.0,37.0,78,85.39
1102,Student_102,24,Non-binary,Delhi,64.0,75.0,87,66.64
1103,Student_103,21,Male,Chennai,57.0,94.0,91,95.28
1104,Student_104,18,Male,Pune,64.0,48.0,70,77.1
1105,Student_105,23,Female,,51.0,46.0,91,66.49
1106,Student_106,22,Non-binary,Pune,54.0,46.0,62,60.5
1107,Student_107,22,Male,Mumbai,98.0,47.0,98,82.39
1108,Student_108,19,Male,Pune,65.0,59.0,90,81.1
1109,Student_109,24,Non-binary,Mumbai,80.0,79.0,66,88.77
1110,Student_110,22,Female,Pune,,53.0,58,95.61
1111,Student_111,19,Female,Mumbai,65.0,89.0,90,63.18
1112,Student_112,18,Male,Delhi,86.0,79.0,50,89.26
1113,Student_113,21,Non-binary,Chennai,71.0,42.0,51,67.5
1114,Student_114,21,Female,Chennai,49.0,87.0,97,94.33
1115,Student_115,21,Non-binary,Hyderabad,55.0,89.0,78,92.76
1116,Student_116,22,Non-binary,Chennai,46.0,66.0,82,81.63
1117,Student_117,18,Male,Bangalore,56.0,,59,88.41
1118,Student_118,22,Female,Pune,62.0,78.0,99,72.57
1119,Student_119,24,Male,Hyderabad,65.0,52.0,89,78.85
1120,Student_120,22,Female,Bangalore,60.0,56.0,70,92.87
1121,Student_121,18,Female,Bangalore,61.0,71.0,77,78.37
1122,Student_122,18,Female,Mumbai,97.0,90.0,60,74.31
1123,Student_123,24,Female,Chennai,46.0,93.0,83,79.77
1124,Student_124,18,Female,Delhi,53.0,37.0,57,93.13
1125,Student_125,18,Non-binary,Delhi,54.0,62.0,71,73.41
1126,Student_126,21,Male,Hyderabad,92.0,69.0,57,66.95
1127,Student_127,24,Non-binary,Delhi,46.0,95.0,98,88.48
1128,Student_128,20,Female,Pune,48.0,88.0,64,93.04
1129,Student_129,20,Male,Delhi,90.0,97.0,66,64.03
1130,Student_130,18,Female,Hyderabad,87.0,41.0,72,69.59
1131,Student_131,20,Male,Delhi,,,73,65.68
1132,Student_132,20,Non-binary,Pune,89.0,65.0,94,73.92
1133,Student_133,18,Male,Mumbai,98.0,92.0,68,78.01
1134,Student_134,20,Male,Hyderabad,62.0,95.0,54,89.95
1135,Student_135,22,Male,Mumbai,68.0,,81,86.05
1136,Student_136,19,Male,Mumbai,57.0,,93,84.84
1137,Student_137,24,Male,Mumbai,70.0,71.0,50,74.09
1138,Student_138,19,Female,Bangalore,69.0,38.0,72,93.66
1139,Student_139,18,Male,Chennai,91.0,54.0,86,78.85
1140,Student_140,21,Male,Bangalore,78.0,94.0,57,99.16
1141,Student_141,24,Non-binary,Chennai,74.0,58.0,62,85.37
1142,Student_142,18,Male,Mumbai,57.0,84.0,57,65.05
1143,Student_143,21,Non-binary,Hyderabad,98.0,83.0,72,87.05
1144,Student_144,19,Female,Chennai,81.0,,92,73.0
1145,Student_145,18,Male,Pune,78.0,70.0,50,87.45
1146,Student_146,24,Non-binary,Pune,56.0,68.0,94,62.79
1147,Student_147,24,Non-binary,Delhi,53.0,70.0,73,67.0
1148,Student_148,23,Female,Chennai,70.0,40.0,84,94.23
1149,Student_149,22,Male,Hyderabad,63.0,73.0,73,69.09
1150,Student_150,20,Male,Bangalore,74.0,76.0,66,93.48
1151,Student_151,21,Non-binary,Mumbai,83.0,92.0,54,71.17
1152,Student_152,23,Male,Delhi,99.0,46.0,69,85.72
1153,Student_153,20,Non-binary,Pune,84.0,37.0,70,87.77
1154,Student_154,20,Male,Bangalore,73.0,52.0,89,80.51
1155,Student_155,18,Non-binary,Bangalore,42.0,74.0,80,72.21
1156,Student_156,20,Male,Mumbai,76.0,55.0,95,68.51
1157,Student_157,22,Female,,82.0,49.0,85,61.33
1158,Student_158,24,Male,Pune,79.0,60.0,60,72.16
1159,Student_159,23,Male,Hyderabad,65.0,42.0,64,86.13
1160,Student_160,20,Female,Bangalore,94.0,76.0,68,97.53
1161,Student_161,18,Male,Mumbai,62.0,78.0,56,94.85
1162,Student_162,22,Female,Hyderabad,83.0,48.0,77,90.64
1163,Student_163,19,Male,Chennai,78.0,36.0,92,91.54
1164,Student_164,24,Non-binary,Pune,54.0,71.0,54,86.6
1165,Student_165,24,Non-binary,Chennai,95.0,72.0,54,70.41
1166,Student_166,23,Male,Bangalore,88.0,75.0,79,96.29
1167,Student_167,24,Male,Hyderabad,43.0,96.0,81,86.83
1168,Student_168,20,Male,Hyderabad,,94.0,57,82.42
1169,Student_169,18,Non-binary,,61.0,48.0,59,64.44
1170,Student_170,24,Male,Bangalore,64.0,36.0,87,77.88
1171,Student_171,24,Non-binary,Bangalore,52.0,51.0,96,78.41
