StudentID,Name,Age,Gender,City,Math,Science,English,Attendance,Total_Score
1001,Student_1,24,Non-binary,Unknown,65.0,56.0,61,89.23,182.0
1002,Student_2,21,Female,Unknown,70.8721649484536,61.0,81,99.25,212.8721649484536
1003,Student_3,22,Non-binary,Unknown,67.0,90.0,81,70.26,238.0
1004,Student_4,24,Male,Unknown,97.0,55.0,77,86.17,229.0
1005,Student_5,20,Male,Unknown,85.0,81.0,62,67.92,228.0
1006,Student_6,22,Male,Unknown,41.0,93.0,80,82.61,214.0
1007,Student_7,22,Male,Unknown,99.0,40.0,63,78.56,202.0
1008,Student_8,24,Non-binary,Unknown,93.0,53.0,69,98.88,215.0
1009,Student_9,19,Female,Unknown,82.0,91.0,67,84.34,240.0
1010,Student_10,20,Male,Unknown,40.0,37.0,78,73.98,155.0
1011,Student_11,24,Female,Unknown,90.0,35.0,55,64.56,180.0
1012,Student_12,20,Non-binary,Unknown,92.0,92.0,81,66.05,265.0
1013,Student_13,20,Non-binary,Unknown,75.0,72.0,78,69.01,225.0
1014,Student_14,22,Non-binary,Unknown,90.0,49.0,92,70.04,231.0
1015,Student_15,21,Male,Unknown,65.0,68.0,51,94.02,184.0
1016,Student_16,20,Female,Unknown,68.0,95.0,72,82.45,235.0
1017,Student_17,23,Female,Unknown,60.0,69.0,68,80.94,197.0
1018,Student_18,22,Female,Unknown,50.0,98.0,80,64.59,228.0
1019,Student_19,19,Non-binary,Unknown,79.0,59.0,54,94.41,192.0
1020,Student_20,21,Male,Unknown,50.0,58.0,68,88.91,176.0
1021,Student_21,23,Non-binary,Unknown,75.0,46.0,83,62.71,204.0
1022,Student_22,23,Non-binary,Unknown,88.0,52.0,59,88.31,199.0
1023,Student_23,19,Female,Unknown,98.0,49.0,74,81.74,221.0
1024,Student_24,21,Non-binary,Unknown,78.0,61.0,51,63.27,190.0
1025,Student_25,22,Female,Unknown,79.0,94.0,60,78.33,233.0
1026,Student_26,18,Male,Unknown,74.0,65.2995867768595,99,79.39,238.29958677685948
1027,Student_27,21,Female,Unknown,93.0,51.0,80,66.63,224.0
1028,Student_28,19,Male,Unknown,73.0,87.0,64,97.83,224.0
1029,Student_29,23,Female,Unknown,94.0,42.0,58,94.0,194.0
1030,Student_30,22,Non-binary,Unknown,86.0,61.0,72,86.76,219.0
1031,Student_31,21,Non-binary,Unknown,63.0,65.2995867768595,68,78.49,196.29958677685948
1032,Student_32,18,Male,Unknown,93.0,84.0,58,76.47,235.0
1033,Student_33,18,Male,Unknown,61.0,37.0,84,86.04,182.0
1034,Student_34,20,Male,Unknown,44.0,98.0,70,81.82,212.0
1035,Student_35,20,Female,Unknown,95.0,78.0,58,62.49,231.0
1036,Student_36,24,Female,Unknown,72.0,87.0,77,80.5,236.0
1037,Student_37,19,Male,Unknown,97.0,58.0,95,92.26,250.0
1038,Student_38,21,Non-binary,Unknown,75.0,94.0,56,78.37,225.0
1039,Student_39,21,Female,Unknown,86.0,37.0,65,62.08,188.0
1040,Student_40,24,Female,Unknown,59.0,54.0,65,91.45,178.0
1041,Student_41,23,Female,Unknown,58.0,80.0,82,68.05,220.0
1042,Student_42,23,Male,Unknown,74.0,49.0,53,70.34,176.0
1043,Student_43,24,Male,Unknown,91.0,59.0,53,66.59,203.0
1044,Student_44,23,Male,Unknown,82.0,51.0,88,73.21,221.0
1045,Student_45,20,Male,Unknown,56.0,43.0,89,90.27,188.0
